Time(muS),X(Volts),Y(Volts)
0,-4.10E+01,-1.20E+02
0.000001,-4.60E+01,-1.40E+02
0.000002,-5.20E+01,-1.36E+02
0.000003,-6.50E+01,-1.31E+02
0.000004,-8.50E+01,-1.75E+02
0.000005,-8.70E+01,-1.52E+02
0.000006,-1.03E+02,-1.82E+02
0.000007,-7.50E+01,-1.77E+02
0.000008,-7.30E+01,-1.92E+02
0.000009,-9.90E+01,-1.85E+02
0.00001,-1.33E+02,-2.02E+02
0.000011,-1.08E+02,-1.86E+02
0.000012,-1.20E+02,-1.93E+02
0.000013,-8.20E+01,-2.00E+02
0.000014,-1.31E+02,-1.84E+02
0.000015,-5.80E+01,-1.81E+02
0.000016,-1.07E+02,-2.04E+02
0.000017,-9.60E+01,-1.83E+02
0.000018,-9.10E+01,-1.78E+02
0.000019,-8.90E+01,-2.00E+02
0.00002,-1.36E+02,-2.34E+02
0.000021,-7.40E+01,-2.05E+02
0.000022,-1.14E+02,-2.43E+02
0.000023,-1.02E+02,-2.02E+02
0.000024,-8.20E+01,-2.14E+02
0.000025,-1.16E+02,-1.95E+02
0.000026,-1.16E+02,-2.06E+02
0.000027,-8.40E+01,-2.18E+02
0.000028,-1.07E+02,-1.89E+02
0.000029,-8.60E+01,-1.97E+02
0.00003,-9.20E+01,-1.82E+02
0.000031,-7.10E+01,-2.14E+02
0.000032,-8.90E+01,-2.06E+02
0.000033,-9.10E+01,-2.10E+02
0.000034,-1.06E+02,-2.51E+02
0.000035,-1.08E+02,-1.93E+02
0.000036,-1.13E+02,-2.00E+02
0.000037,-1.02E+02,-2.33E+02
0.000038,-1.03E+02,-2.08E+02
0.000039,-1.16E+02,-2.00E+02
0.00004,-9.30E+01,-2.38E+02
0.000041,-1.20E+02,-1.94E+02
0.000042,-9.00E+01,-2.15E+02
0.000043,-8.10E+01,-2.17E+02
0.000044,-8.90E+01,-1.85E+02
0.000045,-8.20E+01,-2.32E+02
0.000046,-8.60E+01,-1.88E+02
0.000047,-1.14E+02,-2.11E+02
0.000048,-1.29E+02,-1.82E+02
0.000049,-1.42E+02,-2.13E+02
0.00005,-9.90E+01,-2.35E+02
0.000051,-1.18E+02,-2.22E+02
5.2E-05,-1.11E+02,-2.16E+02
5.3E-05,-8.60E+01,-1.85E+02
5.4E-05,-1.00E+02,-2.35E+02
5.5E-05,-1.10E+02,-1.93E+02
5.6E-05,-1.10E+02,-1.84E+02
5.7E-05,-1.06E+02,-2.25E+02
5.8E-05,-7.80E+01,-2.44E+02
5.9E-05,-1.21E+02,-2.15E+02
6E-05,-1.09E+02,-2.13E+02
6.1E-05,-8.20E+01,-1.99E+02
6.2E-05,-1.11E+02,-2.33E+02
6.3E-05,-8.70E+01,-2.15E+02
6.4E-05,-9.00E+01,-2.01E+02
6.5E-05,-1.16E+02,-2.04E+02
6.6E-05,-1.17E+02,-2.13E+02
6.7E-05,-8.60E+01,-2.17E+02
6.8E-05,-8.20E+01,-2.29E+02
6.9E-05,-9.50E+01,-2.27E+02
7E-05,-1.25E+02,-2.13E+02
7.1E-05,-7.90E+01,-2.18E+02
7.2E-05,-1.00E+02,-2.19E+02
7.3E-05,-7.50E+01,-1.89E+02
7.4E-05,-1.15E+02,-2.28E+02
7.5E-05,-8.50E+01,-2.25E+02
7.6E-05,-8.90E+01,-2.06E+02
7.7E-05,-9.60E+01,-2.10E+02
7.8E-05,-1.00E+02,-2.06E+02
7.9E-05,-1.08E+02,-2.00E+02
8E-05,-1.02E+02,-2.38E+02
8.1E-05,-1.01E+02,-2.56E+02
8.2E-05,-7.50E+01,-1.65E+02
8.3E-05,-1.28E+02,-1.80E+02
8.4E-05,-1.09E+02,-2.00E+02
8.5E-05,-1.13E+02,-1.88E+02
8.6E-05,-9.80E+01,-2.10E+02
8.7E-05,-1.08E+02,-2.08E+02
8.8E-05,-1.18E+02,-2.33E+02
8.9E-05,-1.01E+02,-2.01E+02
9E-05,-7.70E+01,-2.06E+02
9.1E-05,-1.12E+02,-1.95E+02
9.2E-05,-1.14E+02,-2.06E+02
9.3E-05,-1.28E+02,-1.93E+02
9.4E-05,-9.50E+01,-1.88E+02
9.5E-05,-9.80E+01,-2.18E+02
9.6E-05,-5.80E+01,-2.30E+02
9.7E-05,-9.20E+01,-2.09E+02
9.8E-05,-1.11E+02,-2.25E+02
9.9E-05,-8.20E+01,-2.32E+02
1E-04,-1.08E+02,-2.13E+02
0.000101,-1.19E+02,-2.27E+02
0.000102,-1.00E+02,-2.06E+02
0.000103,-1.26E+02,-1.85E+02
0.000104,-1.19E+02,-2.36E+02
0.000105,-8.90E+01,-1.88E+02
0.000106,-1.15E+02,-2.23E+02
0.000107,-1.17E+02,-2.06E+02
0.000108,-1.00E+02,-1.99E+02
0.000109,-1.01E+02,-2.21E+02
0.00011,-1.07E+02,-2.18E+02
0.000111,-9.60E+01,-2.02E+02
0.000112,-1.06E+02,-2.26E+02
0.000113,-1.03E+02,-2.01E+02
0.000114,-9.20E+01,-2.27E+02
0.000115,-7.70E+01,-2.18E+02
0.000116,-1.13E+02,-1.93E+02
0.000117,-6.20E+01,-2.30E+02
0.000118,-8.90E+01,-2.03E+02
0.000119,-9.90E+01,-2.40E+02
0.00012,-1.21E+02,-2.26E+02
0.000121,-9.40E+01,-1.96E+02
0.000122,-1.38E+02,-2.06E+02
0.000123,-8.10E+01,-2.11E+02
0.000124,-8.60E+01,-2.37E+02
0.000125,-1.06E+02,-2.08E+02
0.000126,-1.00E+02,-2.04E+02
0.000127,-1.06E+02,-2.06E+02
0.000128,-1.18E+02,-2.18E+02
0.000129,-6.90E+01,-1.83E+02
0.00013,-1.06E+02,-2.20E+02
0.000131,-1.03E+02,-1.95E+02
0.000132,-1.07E+02,-2.11E+02
0.000133,-7.70E+01,-2.30E+02
0.000134,-8.20E+01,-2.02E+02
0.000135,-1.31E+02,-2.32E+02
0.000136,-1.18E+02,-2.09E+02
0.000137,-9.30E+01,-2.36E+02
0.000138,-1.11E+02,-2.20E+02
0.000139,-1.27E+02,-2.19E+02
0.00014,-7.90E+01,-2.22E+02
0.000141,-1.00E+02,-2.39E+02
0.000142,-7.50E+01,-2.18E+02
0.000143,-1.01E+02,-2.54E+02
0.000144,-8.10E+01,-2.17E+02
0.000145,-1.19E+02,-2.10E+02
0.000146,-1.14E+02,-2.36E+02
0.000147,-7.30E+01,-2.43E+02
0.000148,-8.00E+01,-2.23E+02
0.000149,-9.70E+01,-2.11E+02
0.00015,-9.70E+01,-1.92E+02
0.000151,-1.03E+02,-2.05E+02
0.000152,-6.10E+01,-2.21E+02
0.000153,-7.80E+01,-2.28E+02
0.000154,-9.40E+01,-2.18E+02
0.000155,-8.90E+01,-2.06E+02
0.000156,-8.40E+01,-2.25E+02
0.000157,-1.13E+02,-2.13E+02
0.000158,-1.18E+02,-2.35E+02
0.000159,-1.01E+02,-2.41E+02
0.00016,-9.00E+01,-2.30E+02
0.000161,-6.30E+01,-1.97E+02
0.000162,-1.18E+02,-2.01E+02
0.000163,-7.80E+01,-2.00E+02
0.000164,-1.01E+02,-2.38E+02
0.000165,-6.40E+01,-2.14E+02
0.000166,-1.10E+02,-1.95E+02
0.000167,-1.13E+02,-2.15E+02
0.000168,-1.01E+02,-2.19E+02
0.000169,-1.15E+02,-2.26E+02
0.00017,-1.00E+02,-1.89E+02
0.000171,-1.00E+02,-2.22E+02
0.000172,-1.18E+02,-2.33E+02
0.000173,-1.22E+02,-2.26E+02
0.000174,-1.00E+02,-2.11E+02
0.000175,-1.10E+02,-2.25E+02
0.000176,-1.21E+02,-2.17E+02
0.000177,-8.50E+01,-2.19E+02
0.000178,-9.80E+01,-2.15E+02
0.000179,-1.00E+02,-2.01E+02
0.00018,-8.60E+01,-2.15E+02
0.000181,-7.90E+01,-2.08E+02
0.000182,-1.20E+02,-2.20E+02
0.000183,-9.60E+01,-2.23E+02
0.000184,-1.00E+02,-1.92E+02
0.000185,-8.40E+01,-2.36E+02
0.000186,-8.60E+01,-2.25E+02
0.000187,-9.10E+01,-2.08E+02
0.000188,-1.07E+02,-2.17E+02
0.000189,-8.90E+01,-2.09E+02
0.00019,-6.80E+01,-2.22E+02
0.000191,-1.18E+02,-2.28E+02
0.000192,-7.80E+01,-2.26E+02
0.000193,-1.22E+02,-2.18E+02
0.000194,-9.40E+01,-2.10E+02
0.000195,-8.10E+01,-2.20E+02
0.000196,-9.80E+01,-2.28E+02
0.000197,-1.01E+02,-2.21E+02
0.000198,-9.50E+01,-2.05E+02
0.000199,-1.16E+02,-2.51E+02
0.0002,-1.20E+02,-2.40E+02
0.000201,-1.31E+02,-2.25E+02
0.000202,-9.50E+01,-2.18E+02
0.000203,-1.18E+02,-2.20E+02
0.000204,-1.34E+02,-2.14E+02
0.000205,-1.20E+02,-2.02E+02
0.000206,-1.33E+02,-2.32E+02
0.000207,-1.07E+02,-2.18E+02
0.000208,-7.10E+01,-2.09E+02
0.000209,-1.18E+02,-1.98E+02
0.00021,-7.50E+01,-2.49E+02
0.000211,-9.80E+01,-2.35E+02
0.000212,-1.02E+02,-2.61E+02
0.000213,-1.07E+02,-2.12E+02
0.000214,-9.10E+01,-2.28E+02
0.000215,-1.25E+02,-2.25E+02
0.000216,-1.35E+02,-2.26E+02
0.000217,-1.45E+02,-1.98E+02
0.000218,-1.08E+02,-1.99E+02
0.000219,-1.15E+02,-2.06E+02
0.00022,-1.01E+02,-2.14E+02
0.000221,-7.20E+01,-2.45E+02
0.000222,-9.00E+01,-2.31E+02
0.000223,-1.02E+02,-2.06E+02
0.000224,-9.60E+01,-2.36E+02
0.000225,-9.70E+01,-2.46E+02
0.000226,-8.90E+01,-2.21E+02
0.000227,-1.28E+02,-2.50E+02
0.000228,-9.10E+01,-2.09E+02
0.000229,-8.20E+01,-2.23E+02
0.00023,-8.90E+01,-2.19E+02
0.000231,-1.11E+02,-2.21E+02
0.000232,-1.03E+02,-2.09E+02
0.000233,-9.40E+01,-2.27E+02
0.000234,-9.20E+01,-2.34E+02
0.000235,-8.10E+01,-2.44E+02
0.000236,-1.31E+02,-2.55E+02
0.000237,-1.08E+02,-2.18E+02
0.000238,-1.11E+02,-2.29E+02
0.000239,-1.20E+02,-2.01E+02
0.00024,-1.00E+02,-1.92E+02
0.000241,-1.07E+02,-2.31E+02
0.000242,-1.55E+02,-2.17E+02
0.000243,-1.07E+02,-1.98E+02
0.000244,-1.00E+02,-2.06E+02
0.000245,-1.49E+02,-1.97E+02
0.000246,-9.70E+01,-2.56E+02
0.000247,-1.13E+02,-2.17E+02
0.000248,-1.03E+02,-2.41E+02
0.000249,-1.02E+02,-2.34E+02
0.00025,-1.28E+02,-2.32E+02
0.000251,-9.80E+01,-2.54E+02
0.000252,-1.16E+02,-2.36E+02
0.000253,-1.17E+02,-1.76E+02
0.000254,-1.00E+02,-1.78E+02
0.000255,-1.01E+02,-2.19E+02
0.000256,-7.70E+01,-2.12E+02
0.000257,-1.31E+02,-2.18E+02
0.000258,-1.14E+02,-1.86E+02
0.000259,-1.18E+02,-2.09E+02
0.00026,-8.90E+01,-2.04E+02
0.000261,-8.90E+01,-2.45E+02
0.000262,-1.06E+02,-2.43E+02
0.000263,-1.18E+02,-2.27E+02
0.000264,-1.43E+02,-2.28E+02
0.000265,-6.70E+01,-2.22E+02
0.000266,-6.40E+01,-2.31E+02
0.000267,-1.18E+02,-2.16E+02
0.000268,-1.09E+02,-2.28E+02
0.000269,-1.02E+02,-2.29E+02
0.00027,-1.16E+02,-2.04E+02
0.000271,-1.01E+02,-2.25E+02
0.000272,-1.07E+02,-2.36E+02
0.000273,-1.22E+02,-2.11E+02
0.000274,-1.11E+02,-2.16E+02
0.000275,-9.10E+01,-2.12E+02
0.000276,-1.07E+02,-2.34E+02
0.000277,-1.02E+02,-2.13E+02
0.000278,-1.01E+02,-2.05E+02
0.000279,-1.62E+02,-2.44E+02
0.00028,-7.10E+01,-2.47E+02
0.000281,-1.30E+02,-2.05E+02
0.000282,-1.01E+02,-2.43E+02
0.000283,-1.26E+02,-2.43E+02
0.000284,-1.15E+02,-2.21E+02
0.000285,-1.31E+02,-2.01E+02
0.000286,-1.25E+02,-2.32E+02
0.000287,-1.04E+02,-2.52E+02
0.000288,-1.00E+02,-2.19E+02
0.000289,-1.15E+02,-2.34E+02
0.00029,-1.19E+02,-2.08E+02
0.000291,-1.18E+02,-2.20E+02
0.000292,-1.49E+02,-2.28E+02
0.000293,-9.50E+01,-2.18E+02
0.000294,-1.07E+02,-2.06E+02
0.000295,-1.27E+02,-2.12E+02
0.000296,-7.50E+01,-2.46E+02
0.000297,-1.33E+02,-2.13E+02
0.000298,-1.46E+02,-2.21E+02
0.000299,-9.90E+01,-2.17E+02
0.0003,-8.40E+01,-2.22E+02
0.000301,-1.15E+02,-2.58E+02
0.000302,-1.15E+02,-2.06E+02
0.000303,-1.15E+02,-2.12E+02
0.000304,-9.90E+01,-2.01E+02
0.000305,-1.07E+02,-2.02E+02
0.000306,-9.50E+01,-2.36E+02
0.000307,-1.18E+02,-1.99E+02
0.000308,-1.03E+02,-2.27E+02
0.000309,-1.27E+02,-2.09E+02
0.00031,-1.28E+02,-2.21E+02
0.000311,-1.21E+02,-2.02E+02
0.000312,-1.33E+02,-1.99E+02
0.000313,-1.31E+02,-2.37E+02
0.000314,-8.90E+01,-2.35E+02
0.000315,-1.00E+02,-1.92E+02
0.000316,-8.50E+01,-2.12E+02
0.000317,-8.00E+01,-2.18E+02
0.000318,-1.10E+02,-2.27E+02
0.000319,-8.00E+01,-2.22E+02
0.00032,-1.12E+02,-2.66E+02
0.000321,-1.63E+02,-2.18E+02
0.000322,-9.20E+01,-2.30E+02
0.000323,-1.32E+02,-2.06E+02
0.000324,-1.44E+02,-2.16E+02
