# MW frequency [MHz],Photon counts number
2880.000,19292393
2880.029,19293357
2880.059,19294966
2880.088,19290397
2880.117,19289832
2880.147,19286449
2880.176,19288542
2880.205,19290841
2880.235,19287206
2880.264,19287826
2880.293,19284548
2880.323,19291482
2880.352,19287297
2880.381,19288674
2880.411,19289600
2880.440,19289996
2880.469,19289640
2880.499,19293712
2880.528,19291704
2880.557,19291843
2880.587,19290873
2880.616,19287899
2880.645,19286933
2880.674,19288945
2880.704,19290415
2880.733,19292047
2880.762,19287510
2880.792,19288665
2880.821,19286700
2880.850,19283138
2880.880,19287299
2880.909,19287113
2880.938,19294426
2880.968,19282295
2880.997,19287599
2881.026,19286069
2881.056,19287487
2881.085,19280425
2881.114,19283239
2881.144,19289514
2881.173,19287657
2881.202,19285086
2881.232,19282301
2881.261,19288928
2881.290,19283918
2881.320,19288723
2881.349,19287165
2881.378,19282812
2881.408,19285086
2881.437,19285033
2881.466,19284448
2881.496,19287285
2881.525,19284941
2881.554,19283325
2881.584,19283582
2881.613,19278167
2881.642,19288958
2881.672,19285334
2881.701,19294429
2881.730,19280448
2881.760,19282947
2881.789,19282111
2881.818,19278774
2881.848,19284221
2881.877,19280431
2881.906,19283370
2881.935,19282802
2881.965,19286587
2881.994,19285673
2882.023,19281385
2882.053,19284337
2882.082,19286897
2882.111,19285111
2882.141,19283465
2882.170,19284946
2882.199,19278231
2882.229,19286127
2882.258,19282465
2882.287,19279233
2882.317,19286222
2882.346,19282305
2882.375,19283594
2882.405,19282241
2882.434,19277935
2882.463,19282547
2882.493,19287969
2882.522,19282861
2882.551,19278700
2882.581,19281198
2882.610,19283356
2882.639,19280253
2882.669,19283152
2882.698,19280516
2882.727,19280397
2882.757,19281934
2882.786,19287980
2882.815,19275915
2882.845,19278223
2882.874,19279079
2882.903,19283706
2882.933,19277765
2882.962,19279846
2882.991,19283196
2883.021,19274861
2883.050,19273329
2883.079,19279330
2883.109,19281549
2883.138,19279954
2883.167,19276676
2883.196,19279676
2883.226,19280089
2883.255,19278023
2883.284,19278830
2883.314,19279374
2883.343,19273839
2883.372,19277737
2883.402,19279233
2883.431,19273469
2883.460,19280903
2883.490,19275796
2883.519,19277225
2883.548,19284283
2883.578,19277516
2883.607,19276088
2883.636,19273995
2883.666,19278327
2883.695,19273864
2883.724,19282589
2883.754,19278084
2883.783,19278447
2883.812,19275105
2883.842,19273760
2883.871,19278448
2883.900,19272332
2883.930,19273197
2883.959,19279353
2883.988,19278674
2884.018,19278735
2884.047,19276792
2884.076,19273387
2884.106,19275615
2884.135,19276022
2884.164,19279280
2884.194,19272056
2884.223,19273863
2884.252,19275779
2884.282,19273448
2884.311,19273483
2884.340,19279142
2884.370,19275952
2884.399,19275383
2884.428,19277382
2884.457,19273601
2884.487,19276095
2884.516,19271959
2884.545,19268327
2884.575,19276302
2884.604,19272415
2884.633,19269758
2884.663,19273411
2884.692,19271067
2884.721,19274533
2884.751,19270354
2884.780,19277063
2884.809,19273719
2884.839,19276260
2884.868,19274248
2884.897,19273859
2884.927,19265007
2884.956,19273584
2884.985,19273244
2885.015,19272640
2885.044,19273275
2885.073,19273508
2885.103,19271485
2885.132,19274460
2885.161,19263193
2885.191,19271182
2885.220,19271508
2885.249,19270753
2885.279,19267367
2885.308,19268750
2885.337,19264353
2885.367,19273279
2885.396,19268366
2885.425,19271064
2885.455,19268899
2885.484,19264517
2885.513,19268612
2885.543,19268467
2885.572,19264025
2885.601,19261631
2885.630,19267685
2885.660,19265757
2885.689,19268605
2885.718,19266826
2885.748,19260490
2885.777,19264281
2885.806,19268567
2885.836,19269327
2885.865,19270146
2885.894,19264573
2885.924,19267399
2885.953,19268970
2885.982,19268783
2886.012,19272649
2886.041,19261855
2886.070,19266399
2886.100,19265474
2886.129,19270049
2886.158,19260471
2886.188,19262668
2886.217,19261446
2886.246,19270066
2886.276,19266067
2886.305,19264382
2886.334,19263364
2886.364,19266098
2886.393,19263497
2886.422,19265264
2886.452,19267935
2886.481,19266155
2886.510,19265078
2886.540,19260468
2886.569,19264019
2886.598,19259656
2886.628,19266667
2886.657,19262000
2886.686,19268858
2886.716,19264621
2886.745,19263415
2886.774,19265718
2886.804,19266127
2886.833,19261094
2886.862,19263622
2886.891,19260551
2886.921,19261503
2886.950,19261671
2886.979,19265036
2887.009,19261336
2887.038,19262442
2887.067,19256370
2887.097,19260764
2887.126,19260028
2887.155,19258935
2887.185,19261453
2887.214,19259871
2887.243,19261060
2887.273,19263321
2887.302,19256516
2887.331,19259399
2887.361,19259116
2887.390,19262785
2887.419,19264714
2887.449,19256415
2887.478,19260574
2887.507,19261550
2887.537,19259154
2887.566,19257551
2887.595,19259437
2887.625,19266058
2887.654,19262000
2887.683,19255973
2887.713,19255960
2887.742,19260481
2887.771,19257303
2887.801,19261579
2887.830,19256091
2887.859,19256834
2887.889,19255054
2887.918,19259822
2887.947,19256185
2887.977,19265701
2888.006,19257899
2888.035,19257737
2888.065,19257257
2888.094,19257568
2888.123,19257746
2888.152,19262694
2888.182,19254306
2888.211,19252698
2888.240,19256071
2888.270,19257138
2888.299,19250526
2888.328,19257633
2888.358,19259127
2888.387,19253883
2888.416,19255670
2888.446,19252134
2888.475,19253484
2888.504,19253152
2888.534,19251544
2888.563,19252836
2888.592,19254402
2888.622,19252080
2888.651,19253136
2888.680,19249072
2888.710,19259172
2888.739,19253168
2888.768,19251237
2888.798,19250711
2888.827,19253480
2888.856,19256124
2888.886,19254236
2888.915,19250686
2888.944,19251146
2888.974,19256761
2889.003,19252540
2889.032,19251748
2889.062,19253062
2889.091,19252513
2889.120,19249342
2889.150,19250139
2889.179,19252584
2889.208,19256033
2889.238,19245584
2889.267,19251776
2889.296,19246387
2889.326,19249570
2889.355,19248290
2889.384,19251034
2889.413,19248093
2889.443,19249965
2889.472,19248672
2889.501,19244611
2889.531,19247852
2889.560,19249569
2889.589,19251418
2889.619,19245741
2889.648,19253862
2889.677,19247970
2889.707,19252039
2889.736,19246691
2889.765,19246029
2889.795,19248436
2889.824,19248303
2889.853,19249611
2889.883,19246362
2889.912,19246316
2889.941,19251803
2889.971,19243706
2890.000,19245157
2890.029,19242856
2890.059,19243366
2890.088,19242540
2890.117,19248691
2890.147,19246971
2890.176,19241404
2890.205,19241697
2890.235,19241400
2890.264,19244171
2890.293,19236749
2890.323,19243099
2890.352,19244406
2890.381,19241684
2890.411,19244678
2890.440,19241708
2890.469,19238071
2890.499,19242598
2890.528,19236954
2890.557,19237086
2890.587,19240935
2890.616,19239101
2890.645,19240018
2890.674,19247514
2890.704,19239169
2890.733,19239359
2890.762,19242935
2890.792,19245085
2890.821,19239209
2890.850,19241771
2890.880,19237408
2890.909,19239411
2890.938,19242387
2890.968,19235387
2890.997,19244627
2891.026,19238795
2891.056,19244235
2891.085,19241262
2891.114,19238595
2891.144,19237701
2891.173,19236587
2891.202,19243037
2891.232,19237263
2891.261,19240616
2891.290,19241119
2891.320,19237857
2891.349,19237658
2891.378,19237470
2891.408,19234438
2891.437,19240477
2891.466,19232234
2891.496,19234872
2891.525,19239946
2891.554,19234529
2891.584,19231241
2891.613,19238767
2891.642,19233869
2891.672,19237531
2891.701,19238359
2891.730,19236352
2891.760,19235521
2891.789,19230756
2891.818,19238556
2891.848,19235736
2891.877,19236749
2891.906,19241830
2891.935,19239394
2891.965,19243328
